qrID,quoteText,responseText,topic,disagree_agree
480@3,"you 're saying it 's impossible to take marriage out of the government \? give all people currently married a civil union , and let people from now on get a civil union from the government , and marriage from the church it really would n't be that hard",i think we all could live with this,gay marriage,1
480@4,"many on the religious right claim a belief in the existence of satan and blame him for many of the evils in this world i am curious why people believe that satan is responsible for those evils , not men and their weaknesses if you believe that satan exists , can you give a specific example of some human event where you think he had to have played a role \?","oh , we already know a bunch of events that he played a role in they even made it into a song ! please allow me to introduce myself i'm a man of wealth and taste i 've been around for long , long years stole many man 's soul and faith and i was 'round when jesus christ had his moment of doubt and pain made damn sure that pilate washed his hands and sealed his fate pleased to meet you hope you guess my name but what 's puzzling you is the nature of my game i stuck around st petersburg when i saw it was a time for a change killed the czar and his ministers anastasia screamed in vain i rode a tank held a general 's rank when the blitzkrieg raged and the bodies stank pleased to meet you hope you guess my name , oh yeah ah , what 's puzzling you is the nature of my game , oh yeah \( woo woo , woo woo \) i watched with glee while your kings and queens fought for ten decades for the gods they made \( woo woo , woo woo \) i shouted out , who killed the kennedys \? when after all it was you and me \( who who , who who \) let me please introduce myself i'm a man of wealth and taste and i laid traps for troubadours who get killed before they reached bombay \( woo woo , who who \) pleased to meet you hope you guessed my name , oh yeah \( who who \) but what 's puzzling you is the nature of my game , oh yeah , get down , baby \( who who , who who \) pleased to meet you hope you guessed my name , oh yeah but what 's confusing you is just the nature of my game \( woo woo , who who \) just as every cop is a criminal and all the sinners saints as heads is tails just call me lucifer 'cause i'm in need of some restraint \( who who , who who \) so if you meet me have some courtesy have some sympathy , and some taste \( woo woo \) use all your well learned politesse or i 'll lay your soul to waste , um yeah \( woo woo , woo woo \) pleased to meet you hope you guessed my name , um yeah \( who who \) but what 's puzzling you is the nature of my game , um mean it , get down \( woo woo , woo woo \) woo , who oh yeah , get on down oh yeah oh yeah ! \( woo woo \) tell me baby , what 's my name tell me honey , can ya guess my name tell me baby , what 's my name i tell you one time , you 're to blame oh , who woo , woo woo , who woo , woo woo , who , who woo , who , who oh , yeah what 's my name tell me , baby , what 's my name tell me , sweetie , what 's my name woo , who , who woo , who , who woo , who , who woo , who , who woo , who , who woo , who , who oh , yeah woo woo woo woo sympathy for the devil by the rolling stones",existence of God,1
481@0,"the bahavior is only morally corrupted if there is , in fact , something wrong with what they did i do n't see it","let 's make sure we 're talking about the same thing here art you do n't find this reprehensible \? from the op according to williams and the florida department of health , she went into labor and delivered a live baby girl what williams and the health department say happened next has shocked people on both sides of the abortion debate one of the clinic 's owners , who has no medical license , cut the infant 's umbilical cord williams says the woman placed the baby in a plastic biohazard bag and threw it out you do n't see placing a live new born baby in a bio hazard bag and throwing it into a trash receptacle as medical staff stood by and watched as shocking and disgraceful \? not to mention murder \? is that what you 're telling me \?",abortion,1
481@1,at least i 8217 m not advocating hauling astronomy to court and getting it thrown out of significant parts of the public realm do you think they 8217 re all genuinely mystified that someone would suggest that other branches of science be held to the same criteria that evolutionists have set for id \?,"er , they are held to the same standards id fails to meet them that 's the point",evolution,1
481@5,"it becomes more and more clear why atheists are comfortable with theistic evolution if there was no adam , there was no original sin , and no genealogy as described in the book of genesis , only monkeys except for his amazing exception to science in the virgin birth of jesus , he seems to allow evolutionistic pronouncements to have priority over biblical statements then all the basics of christianity , the nature of god and central new testament teachings , including the way the sinner adam \( one man \) and the savior jesus \( one man \) are linked together in romans 5 , 16 18 , are trivialized just the way atheists love no wonder they 're so comfortable with theistic evolution !","actually , you could probably make your point better if you referred to a theistic evolutionist who rejected all creation stories \( and other history \) in the bible as for your point itself , it is fairly correct \( in my opinion \) theistic evolution makes no assertions that contradict either evolutionary theory or the teachings of the bible \( morals , etc \) this presents no problems for atheistic evolutionists",evolution,1
482@1,i thought that crocodiles and alligators were in about the same state as they were millions of years ago and that was because thier habitat did not require them to change therefore the odd slight mutations that gain the advantage and lead to change was of no advantage,right it 's called stasis species that are well adapted to their environments tend to change little in a stable environment it is still true that fossil crocs are not the same as modern crocs there are obvious differences,evolution,1
482@3,opinions \?,"wow a very unusual and distressing story , and probably why saline abortions are no longer used it is very unfortunate for her to have to live with that disability",abortion,1
483@1,naturalistic presumption has become sacrosanct in the rhetoric of the professional scientists who have been crystal clear on how they define creationism,it 's not part of any rhetoric evolution is fact it 's no more rhetoric than gravity or the founding principles behind newtonian physics,evolution,0
483@3,"hey ! let 's murder hanicapped people ! their health will deteriorate and probably will die in pain later on , so let 's just rip of their limbs without them knowing ! eh \? sounds good \?",like most things theists that statement is based on ignorance,abortion,0
484@0,perhaps also you might want to consider where you should have posted this thread as it has nothing to do with creation v evolution,"on the contrary these individuals \( or individual whichever it may be \) , contributed significantly to the creation evolution forum evidently , each one of them at some point posted something deemed worthy to have them banned by the forum moderators according to the subjective rules of the forum their presence is missed i figured this would be the one forum that would most likely catch their attention , should they be perusing through without the strong presence of a resident biologist , my opinion is that this forum has limited opportunities to learn new and interesting information about evolution such information can help individuals see evolution as reasonable instead of perceiving it as something evil that is devoid of god , or put in their minds by the devil , etc if the moderators feel that this is not an appropriate post for this forum , then they have to make the call to delete it just to make it a debate , though , i 'll pose this question does anyone else miss the presence of any one of the individuals who was behind the usernames of lurch and ungerdunn \? why or why not \?",evolution,0
484@1,creation is not a myth,yes it is,evolution,0
484@3,"do you believe that you will hear an understanding of god that you 've not heard before , or are you of the belief you are open minded on the subject , and might well have an epiphany \?","what possible concern is any of that to you \? some actually search for knowledge through debate this is a debate forum if you recall do n't play if you 're not so inclined but to post warnings not to fall in this trap , c'mon",existence of God,0
484@4,do you believe in evolution \? i mean i understand if you do but i would like to make some points about it there are also some points procing creation,"oh gosh , a whole bunch of cut pastes from a 14 year old that is showing off their lack of knowledge these are not unknown situations , and are very easily explained",evolution,0
484@5,"are you saying that the only kids adopted are white \? if that 's the case , you need to go outside and talk to more people , because i now a great deal of colored people who were adopted","well , if you know people of color who are adopted then that must mean that there is no problem with the number of children of color who ca n't be placed in adopted homes !",abortion,0
484@6,"it 's up to you stop bringing up red herrings and or arguing by personal attack , or do n't expect me to treat your posts with any less contempt than i have for most of what 's been posted to this board","evidence or logic that causes you a problem is not a red herring as for arguing by personal attack , once again i think i 've been remarkably patient given the unending stream of dismissive and insulting comments i 've endured along the way",evolution,0
485@0,read what i actually wrote for a change yank,"this is what socially inept losers do when they know their argument is , deny they ever made one i 've asked repeatedly for an example of the evolution of a new body part in a population and all you 've done is confirm the fact that you 're an absolute",evolution,0
485@1,"do n't you dare try and give me a lecture about cherry picking ! all you ever do is cherry pick ! you come around about once a month , scour the news to find a crime committed with a gun , and you use that single incident as if it 's evidence that there 's a serious problem that threatens the entire nation if that 's not cherry picking then i do n't know what is as a gun owner i'm also a property owner or are you denying that guns are property \?",i 've been posting at least a few times a week that 's a lot more than once a month i pointed out that the us has higher levels of gun crime than most developed nations while you tried to focus on a few tragedies in response to someone questioning the claim that criminals will always get guns i think it 's obvious whose argument is more cherry picked,gun control,0
485@3,there are no new forms of life emerging,wrong,evolution,0
485@6,as for tugboat annie i think she 's back on the cider,i do n't drink and i'm not overweight but i bet you have a bad habit with junk food and fox news couch potatoism with a sixpack by your side,abortion,0
486@0,"erm we are \? levels of co2 in the atmosphere are usually quoted as parts per million , currently a little over 380ppm , 150 years ago closer to 280 in 1970 about 330ppm carbon dioxide in the earth 's atmosphere wikipedia , the free encyclopedia","then why are you a global warming advocate jo \? since you just produced evidence that over the last 150 years , throughout the complete industrial revolution since fossil fuels have been being burned , the atmospheric co2 levels worldwide have only gone up by 100 ppm \? http upload wikimedia org wikipedi on dioxide png are you forgetting that the earth 's atmosphere has the ability to constantly clean itself , so once we get third world industrialized countries throughout asia and africa to adopt clean air policies , world wide air pollution will become a distant memory in no time at all \? also , your stats in addition to these stats http scienceandpublicpolicy org pr te crisis html prove that the threat of global warming is a myth",climate change,0
486@4,"dont expect the recent retractions and exonerations to change that one of the strongest , most repeated findings in the psychology of belief is that once people have been told x , especially if x is shocking , if they are later told , no , we were wrong about x , most people still believe x as twain and churchill knew , sometimes the truth never catches up with the lie , let alone overtakes it as i wrote last summer in a story about why people believe lies even when theyre later told the truth , sometimes peoples mental processes simply go off the rails","absolutely true ! i discovered that with my fluoride research for whatever reason , most people take another 's word for what the truth actually is instead of searching for it themselves if the lie is an easier pill to swallow than the truth pill , they 'll take the lie",climate change,1
487@0,evolution is basically a naturalisitic way of explaining how everything could come into being without the need for a creator god,"now you are being insulting evolution makes no statments about your god for that matter , neither does cosmology , astronomy , chemistry , physics or geology",evolution,0
487@6,"5 , by l lewis wall motherhood is a blessing , but in many parts of the world childbirth leaves women permanently injured and turns them into social outcasts in west africa , only about 1 percent of pregnant women have caesarean deliveries because the procedure isnt widely available when labor is obstructed , the baby is trapped in the pelvis , and labor can last up to a week women who survive this ordeal can develop a hole in the bladder called a fistula this injury caused by the prolonged pressure of the babys head on the soft tissues of the pelvis causes continuous and uncontrollable loss of urine the millions of women in africa and asia who suffer from fistulas are often shunned by their communities for the rest of their lives in liberia , i operated on a woman who had endured a fistula for 35 years , and it took only 20 minutes to repair her injury including a month of hospital care and the surgical supplies needed , the operation costs about 300 to 450 all a clinic needs is spinal anesthesia , intravenous fluids , basic surgical instruments , sutures and a catheter for draining urine its even easier to prevent these injuries from happening in the first place with supervision , local village labor monitors can learn to track the progress of a birth and send the woman to a hospital when labor lasts too long trained birth attendants can detect abnormalities in labor by using a partograph a simple graph that charts the progress of labor and tells attendants when to intervene the world health organization tested the partograph in 35 , 000 births in southeast asia and found that using it cut the number of prolonged labors almost by half widespread use of this simple early warning system would go a long way toward saving babies and mothers lives and making fistulas a thing of the past","wouldnt it be wonderful if every woman in the world had access to decent prenatal care , if every woman in the world could be guanateed safe childbirth , wouldnt it be wonderful \? the entire series is at http www nytimes com 2009 05 10 opinion 10gift html and , if men had to suffer the torture of being in labor for a week and having their insides torn out , do n't you think the male centered world would truly care more about the welfare of women and children \?",abortion,1
488@0,a second chance to make it right,"while your story is a sad one i disagree that you should be happy with having a second chance i believe this because you gave your unborn child no chance i probably should n't say you because it seems like you did n't have a choice in the matter anyway , thank you for sharing your story and welcome to the forums",abortion,0
488@1,the big bang theory is just a story that somebody made up,"that somebody was a jesuit priest , the idea met some initial resistance because of it 's religious overtones but the overwhelming evidence in favor of it carried the day you should study some history too",evolution,0
488@2,in the first trimester there is no consciousness and no possibility of pain this method is safe for the woman,so we should only feel compassion if there is pain \?,abortion,0
488@3,"why are you blaming me \? what did i do \? how can you stop it from happening \? you are good at flaming rhetoric but apparently you do n't have an actual clue on what you are asking you want us all in the exact same position as ms ross ! peaceful , compliant victims of vicious predators ! by the way , did you see this \? if you had your way , i would be dead too ! na ! i think i will keep my rights , and you can keep your pipe dreams of a violence free society !","oh good grief ! i have always lived in rough areas in one city , alburquerque , a drug deal went sour 10 feet fom where i slept , and a guy had his head blasted away by a shotgun where i worked , less than a block away , a gunner massacred everyone in a video rental place i was even obliged to ferry a guy with a slash on his throat to an er , i did n't know the stupid beast , i was scared to death , but i felt it my christian duty \( even though i am not a christian \) to get the guy to where he could get treatment and i do n't own a damned gun because i am not chicken hearted",gun control,0
488@6,it predicts that man has always been intelligent and ancient language and buildings confirm this,"so do 25 , 000 year old cave paintings",evolution,1
489@0,"exactly also , traditional marriage was adopted from pagan ceremonies that allowed same sex couples to be wed along with hererosexual couples either way , his traditional marriage statements are flawed greatly","i have a feeling that the tradtitional marriage the dobson is refering to is only about 100 years old hardly traditional if you view it in the perspective of history up until the turn of the 20th century marriage was about property the man physically owned the woman and the children i sometimes laugh at these cithgaps , espically the women , when they talk about defending the traditional marriage they are trying to defend a redefinition of something that has allready been redefined",gay marriage,0
489@1,"many contemporary authors prominent in bioethical circles distinguish sharply between being a human being and being a human person these authors claim that for an entity to be regarded as a person , it must have developed at least incipiently exercisable cognitive capacities or abilities \( another view distinguishes between a living human body and a living human person","what is a human person and who counts as a human person \? a crucial question for bioethics by prof william e may there is also an extremely academic school of thought which views the human person in terms of the ego in all its derivations i cannot hope to summarize what this is all about , please refer to philosophical critiques the human person 3 one could also consider the social development of an infant , inasmuch as humans are , in most cases , very social animals according to primatologist sarah blaffer hrdy , the human species is specifically developed to be part of a social system and a newborn infant comes ready made to push all the buttons of the system",abortion,1
489@2,yec really si n't an issue here,"if anyone is pushing id , yec is an issue id as a foot in the door maneuver in an effort to teach science the problem is that most school boards are made up of christians who think that their religion is somehow supported by science , and they do n't see the harm in teaching their idea of god as science you seem to fit that picture pretty well",evolution,0
489@3,"my life was a gift from my parents , no more , no less when i look in the mirror , i do not see an embryo if someone gives you something , they have every right to take it away if they feel you are not suited to handle it , or if they had second thoughts i would think this was ok if the baby was stopped in an earlier stage , but once its in its third trimester , you have no right to kill it","well , your parents' parents also had parents who had parents who had parents which all streams back down to 2 people who god created adam and eve so ultimately your life is a gift from god because the whole human race was created by him",abortion,0
489@4,"wow , what a group of rude , self important , pompous , pseudo intellectuals who will insult and personally attack a person for one grammatical error i meant to say the universe has aged from 4 to 14 billion years old since i was in school but rather than deduce that you call me dumb and ignorant \? with all of your so called intelligence can you prove the universe is now precisely 14 billion years old \? can you prove neanderthal man was a human descendant \? because dna tests dont prove that out and yet phds and masters degreed scientists insist they are that 's why the bible say 's that the wisdom of this world is foolishness to god","well , look who 's all pompous about something , and still get it wrong either way , earth or universe , you are still wrong , as for many decades the age of the universe has been put in the high single digits to the teens we have never claimed it was 4 billion years old , that would just be retarted , as that is the age of the earth maybe you should check your facts and make sure you do n't get them wrong whentrying to argue about the subject",evolution,0
489@5,then why ca n't a man opt out of fatherhood when a mass of tissue is just that a mass a tissue,"i believe a man should be able to opt out of fatherhood the problem with this article for me is the moral ambiguity there is no consistent argument laid out for free choice , that is choice for women and men , or even one for consistent slavery \( forced births from women , forced money from men \) it reeks of the vindictiveness that can be seen in any number of fringe movements , of the i do n't really care whether we live in a just society , as long as you 're not treated better than me so yes , i a real pro choicer agree with matt here , the pro choicers who are portrayed as disagreeing appear to be some kind of stereotyped 1970s feminist socialist activist bra burning type",abortion,1
489@6,"abortion on demand and without apology was the mantra of the pro abortion crowd at the 1992 spring of life rally here in buffalo , ny","ouch , that certainly takes simone down a notch http www refuseandresist org ab",abortion,1
490@0,"then be troubled because id is clearly creationism for example , an early draft of pandas and people stated creation is the theory that various forms of life began abruptly , with their distinctive features already intact fish with fins and scales , birds with feathers and wings , mammals with fur and mammary glands after attempts by creation science to get religion taught as science failed in the courts , the text was altered the published text reads intelligent design means that various forms of life began abruptly through an intelligent agency , with their distinctive features already intact fish with fins and scales , birds with feathers , beaks and wings , mammals with fur and mammary glands and yet you are n't troubled by the fact that these two non synonymous ideas can both be explained merely by exchanging either creation or intelligent design and god or intelligent designer and , of course , there is the view of judge jones of the dover , pa trial who stated in his decision , the evidence at trial demonstrates that id is nothing less than the progeny of creationism and the overwhelming evidence at trial established that id is a religious view , a mere re labeling of creationism , and not a scientific theory oh , let 's see how about the fact that both ideas rely on some magical invisible being that brought everything about by some unspecified means what is funny is that for public consumption id claims that the identity of the designer is unknown \( wink , wink \) however , as is stated in the discovery institute 's private wedge document , one of the goals of id creationism is to replace materialistic explanations with the theistic understanding that nature and hurnan sic beings are created by god that sounds like creationism to me",and lets ont forget the parts where they did n't completely relabel all of the creation to id and we ended up with cdesign proponentsists,evolution,1
490@1,"bingo this is spot on why suggest a repeal of the entirety of doma if you support the policy established by part of doma \? and i repeat my earlier observation if doma is such a travesty , why not go ahead and try to repeal it as a senator such a repeal would have to be initiated by congress anyway it 's highly unlikely that he could accomplish a repeal of doma as president",because there are still a lot of people in this country that support oppression and injustice toward gay people,gay marriage,1
490@2,how can we test it \?,by creating an experiment in which we observe it taking place,evolution,1
490@3,"yes , thanks to todays science , the study of individual , whole organisms has been replaced by the study of genes instead of real life representing bilogical reality , theyve created their own fairytale of biolgical reality the fact is , genes make sense only in the context of the organism and the organism only makes sense only within the context of the environment they live in animals , in fact , seemed to have completely disappeared from the realm of evolutionary biology nobody talks about animals anymore and they certainly do n't talk about how they interact with their environment","aside from this being completly wrong , it is quite compelling you make a good point in regard to an organism 's form only making sense in relation to its environment of course , this is a cornerstone of evolutionary theory organisms that are more successful in a certain environment will reproduce and be the ones present in said environment it actually is possible to look at genes without the context of the orginal creature this is why we can move genes from one organism and place them in another given a complete understanding of molecular biology , we could contruct any form of organism we desired from scratch",evolution,0
490@4,whats the difference \?,"your finger is alive , but is it a life of its own \?",abortion,1
490@5,surely you understand that this is not the same as providing evidence for creationism disproving one theory does not prove another all it does is disprove a theory,"yes i do understand this but you must admit that the instantaneous formation of a living organism , even an extremely primitive one , complete with the complexity of the dna code as a result of random encounters of atoms and molecules is a little too much to buy there is evidence right there for creationism only intelligence could have formed such an elaborate complex system for the structure of life and its propagation",evolution,1
491@0,what is a christian agnostic \? \( never heard of them \),an agnostic believes gods cannot be logically known \( ie require faith \) one can believe in the christian god at the same time,evolution,1
491@1,"all i'm saying is that it is a lot larger leap , based on common sense , to say the universe began when an uncreated atom exploded causing a chain reaction that eventually lead to the creation of all in the universe through mere happenstance","well , fine if you can quote a scientist claiming the above , i 'll join you in declaring her mistaken you could be searching a long time",evolution,0
491@2,"same number of grains of sand , same number of blades of grass , same number of humans who look exactly like each one of us , doing exactly the same things at exactly the same times anything anyone could imagine would have to be out there somewhere there would be planets exactly like this only dogs rule , or others exactly like this where cats rule","again , logically incorrect that 's like saying there must be a world just like this one where water flows uphill clearly that 's nonsense this world has been shaped by forces that ensure water flows downhill",evolution,0
491@3,i never claimed anyone did live inside an embryo,"well , you 're writing from an embryo 's point of view , when an embryo does n't even have a point of view it would be like writing from a rock 's point of view",abortion,0
491@4,"if a woman does not want to be pregnant , she can abstain from sex it works !",abstinance \? ! heaven forbid,abortion,0
491@5,"people could have been created accidentally by the magical tree of wisdom as well , or the pink bunny wabbit from mars and then shipped to earth via 1 way teleportation devices there 's no need for some omnipotent \( impossible \) god","nor is there any need for some mythical molecular elemental , nebulas natural selection , or mystical transitionals based on peicemeal forensics and antithestic rhetoric",evolution,0
491@6,and are only trying to earn themselves brownie points in heavan,and you are only trying to earn yourself brownie points in hell,abortion,0
492@0,it is nothing but science fiction,really \? from what university did you earn your science degree that makes you qualified to make judgements about what is science \?,evolution,0
492@2,"there is not one single peer reviewed piece of evidence proving a link between birds and dinosaurs , fish to amphibians ,","evidence is n't peer reviewed \( see correction below \) analysis of evidence and conclusions drawn from that evidence are what 's peer reviewed and , even after its gone through the peer review process , it has n't proven anything the conclusions are either supported by the evidence or they are n't conclusions are drawn and explanations for phenomena are offered the explanations are accepted \( for publication \) if the peers \( other scientists , sometimes competitors \) are convinced that the explanations offered are valid there are plenty of papers about dinos bird and fish amphibians",evolution,0
492@4,one can live off the other and if so do you kill the non dominant one they did n't say anything in this video but one is more dominant than the other normally does the dominant one have the right to kill the other for living off of them \? can one girl kill herself or do harmful things to her body if she chooses even against the other heads will \? so many questions and since the pro choice stance is ever complex i figure this would be an interesting response,"i am curious about the logic you used in your reasoning in thinking that pro choice proponents would support having one of the girls on the video killed to let the other one have a better life what , specifically , in anything that we have said would make you think that killing one of those girls would be ok \? since you brought up the questions , i wonder what your answer would be to that second question can one girl kill herself or do harmful things to her body if she chooses even against the other heads will \? along those lines , do you support people 's rights to kill themselves \?",abortion,0
492@5,"you are wrong about me , ww , and the longer you pretend otherwise , the more time you 're going to waste on strawmen and the more chances i'm going to get to make your arguments look silly","i pretend to nothing i am not pretending to beilieve you to be a materialit darwinist i do believe exactly that and as for your threat to make my arguments look silly , i'm not shaking in my boots i 've made your arguments look presumptuous , pretentious and silly , but you have never yet succeeded in doing that to any of mine",evolution,0
492@6,"while youre spending your time pointlessly debating , there are hoards of catholics out there that are spawning like crazy","oh , the actions intentions of the religious get much worse than just that hopefully , everyone will be scared a bit by the following statements made by nationally known religious leaders activists",evolution,1
493@1,so far there is no mechanism for an organism to grow wings when it previously had none,"i know this may seem obvious to most people , but it seems to have escaped the notice of creationists birds are tetrapods , as are amphibians , reptiles , and mammals birds did n't just grow wings wings are adaptions of the front limbs that were covered with feathers perhaps you are unaware of the evidence that indicates that maniraptors had feathers , probably for thermoregulation saying that there is no mechanism for birds to grow wings when they previously had none is like saying that there is no mechanism for mankind to grow arms when he previously had none you see , mankind 's closest relatives are the two species of chimpanzee they are quadrupeds",evolution,0
493@2,what are the best arguments for against gun control \?,"can we get a better difination of gun control \? are you talking the leval of regulation i have in indiana , the levals in nyc , having no controles \( no checks , no licences for carry , no tax stamp for nfa weapons \) , or the other side of just asking mr and mrs america to turn them in \?",gun control,1
493@3,"i 'd strongly recommend that you have your eyes checked , steeeeve",why not \? people that support abortion hold the view that the woman is more important than the unborn if you rank humans and force something upon a certain group in one case why would n't you approve of it in another \? eugenics is just saying a certain group of citizens is below another kinda like an unborn is below a female and then saying we are going to make sure you do n't reproduce and we will put you in this home with abortion you just kill the person atleast sanger took her views to the only logical conclusion,abortion,0
493@4,"lol well that 's so nice of the copy who let you know and that 's very interesting every time archangel how many times have you been stopped \? and for going how fast \? i'm sure it was a lot more than 35 mph ! and you have the nerve to talk about responsibility or how this woman was a jerk \? or to call me names \? dearest , i never speed because i take my responsibilities as a citizen so seriously , and i have never received a speeding ticket were you driving under the influence as well \? how many lives did you put at risk , archangel \? what pomposity ! what hypocrisy !","just as you constantly lie here to us on this board , now you are lying about your conduct on the road as a driver i have had my license for a full 40 years now and have never had it revoked nor have i had an accident in over 25 years , but in those first 15 years i got 4 or 5 speeding tickets and all of them deserved but none of them were for speeding in a school zone where children were present and none of them were for public endangerment i was famous for getting on the highway and cruising at 80 or 85 mph in a 65 by this woman doing 35 in a school zone , she was doing 15 mph over the legal limit where children are present which of us do you think was more egregiously breaking the law \?",abortion,0
493@5,i do i just try to shine the light of truth on it,"god talk about a bunch of foo foo poop ! what are you a girl \? any way honey , dont you think that net result was a lot of people who for one reason or another could not resist there biological programming will get aids because they were told not to have sex in place of getting condoms \? i cant believe i had to explain that to you",abortion,0
493@6,after all these years it still hurts,certainly it does,evolution,1
494@0,not that anyone here cares to read the creationist slant on soft tissue found in dinosaurs but here it is,"actually , i 've heard it all before and it is wrong the article is full of misinformation and misrepresentation it is , as you say , slanted rather than an honest report of the data",evolution,0
494@1,"i have read all of your post and all you talk about is my facts being irrelevant , but as a christian i belive jesus and god are one , and the bible is the word of god so therefore its also the words of jesus","i know that i 've tried to make this argument before on another thread but jesus was not god in that sence but the son of god god even says in the bible that jesus is his son so that they are apart of eachother but are not the same also , how do you know that a lot of the laws put into leviticus were not just ones added by the chief priest \? after all , the bible was writen down by human hands also i want to make reference to john 3 16 17 \( tev translation \) 16 for god loved the world so much that he gave his only son , so that everyone who believes in him may not die but have eternal life 17 for god did not send his son into the world to be its judge , but to be its savior i specify the translation because it seems that most of the posters are using kjv , which kind of annoys me when i try to read it",death penalty,0
494@2,"let them make the descision of course i do n't know if they are better off , but neither do you therefore only they know what 's best for them and they should be the one making the descision i see no problem here",but i see two people involved here whether the women is better off or not is irrelevant to me she has no right to kill the other just like you have no right to kill your neighbor i'm not for allowing decisions on everything and to be against choices is not a bad thing considering every law restricts choices,abortion,0
494@3,leviticus 18 22 do not lie with a man as one lies with a woman that is detestable,"so \? in your religion 's view , everyone sins their sin is no greater or more unforgiveable than yours",evolution,0
494@4,"most research indicates social deprivation as being main causes of crime coupled nowadays with drugs so why are guns being blamed for causing crime ! ! ! i 've been saying this for years criminals have always had guns ban or not that is the exact point of this thread guns bans control does n't stop the criminals , endangering the populace if you want to argue anti gun do n't support the side of us redneck hillbilly gunnuts that you think are so stupid",but the number of criminals that have firearms can be reduced in developed nations that have very strict gun laws there are a lot less criminals obtaining and using guns to commit crimes how does your theory explain that \?,gun control,0
494@6,you darwinists have gotten yourselves into quite a mess for decades you 've been conning people that evolution proceeds gradually by way of point mutations and natural selection,"there 's much more to it than that there are several different kinds of genetic changes that are called mutations evolution is not limited to the effects of point mutations alone why do n't you demonstrate your competence to discuss this topic by defining a point mutation , and then name and define several other kinds of mutation and , of course , there are other mechanisms that increase the genetic variability in any population besides mutation on the other hand , there are mechanisms that tend to reduce the variability in a population in addition to natural selection please name and explain at least 4 others in order that you do not continue to look like a fool",evolution,0
495@0,"go pound sand you 're the people who want the separation of church and state , remember \? get your sick , satanic mits off the church","then get your sick , satanic mitts off everyone else",abortion,0
495@2,"how many times have you heard , it 's in the genes \? \? \? \?",once this is the first time,evolution,1
495@3,do some reading on what the founding fathers said in their infinite wisdom and get back to us well no less bigoted than the michael nedows who 'd cram their drivel down the throats of the majority as to the claim on me being bigoted that is quite a stretch i invite anyone who is unhappy with living in the greatest country on the planet who is unhappy to also feel free to emigrate meanwhile back at the ranch your cutcy wootcy spelling lesson falls rather flat it does n't negate any thing and merely shows the desperation to which you sink i would have corrected it but then you 'd accuse me of what you are guilty of so often,i know nothing of nedow that 's cutesy btw,gun control,1
495@5,"the trait has to arise first do you really think the traits jim mentioned could happen randomly \? by mutation , no less \?","i think kronus pretty much covered that one quite well actually it 's sad ss , you always harp against ns , but you obviously have no clue what ns is really all about i suggest a little educational reading i at least read the bible before i began to publically debate it 's validity",evolution,0
495@6,"actually , society has n't said this 5 judges , in very recent times , have i for one think that some 17 year olds fully comprehend the full implications of murder , and therefore should be held accountable in the same way as an 18 year old i guess i just do n't see any reason why a jury could not address the issue on a case by case basis i do not see the 18 and over execution rule in the eighth amendment","well , actually society has said that 18 is the dividing line it can then also say , that under certain circumstances , for a particularly bad person , in some cases it will be considered if the person is 16 or 17 that 's why we have all the judges and lawyers , etc",death penalty,1
496@2,"so , archie , nothing matters if it is outside of america \?","sure they matter but that is n't the issue here you posted this in the abortion forums as if this medical malpractice which is taking place in an impoverished third world country is justification for it in america that is a ludicrous and totally bogus argument to make if you thought rationally , you would have it in the health forum and be complaining about how third world countries are so ill prepared for this common problem when we have the technology so readily available to avoid it my lord simone , a simple c section is all that is required to make this a non issue for mother and baby but you ignorantly post this drivel as if abortion is the solution it makes no sense at all , and yet you post it thinking that you 're contributing something rational go figure , huh ! ! !",abortion,0
496@3,"i'm not selfish , whether you or your buddy jp like to think so or not i just look at actual reality rather than a fantasy world",actually all decisions based on the self are selfish decisions i really do n't care i make them all the time too everyone does while this is a philosophical issue i really see it as odd that people claim not to be selfish when doing something that benefits them or prevents harm to them with little regard to anyone else,abortion,0
496@4,"you 'll have to ask gnojek that it appears he thinks that any pronouncement by a scientist suggesting co2 production is a problem is a conspiracy theory by scientists to get bigger budgets as scientists we will tell you that there is a major problem that can only be solved through science , which can only be done with money we 're scientists and we really like grant money to do research would n't it be great if we had a global initiative to fund this research indefinitely , or until the global warming problem is solved it 's the yec movement all over again there 's no proof , the evidence could be interpreted either way , it 's a scientific conspiracy theory , the devil is behind it it 's un christian to cut back on fossil fuel burning etc","ah , my bad",climate change,1
496@6,what is your point \?,"possibly that the us was not supposed to be , and is not a democracy \? in any case , the rulers were not common , neither were the people free",communism vs. capitalism,0
497@0,"i do n't care much either way , as long as he never walks around loose again but life in prison is going to cost the taxpayers hundreds of thousands of dollars that money could be better spent in the war on terror","that 's why i say , kill the bastard !",death penalty,1
497@1,"if someone is a junkie , they might also smoke pot , or if someone is a crackhead , they might also smoke pot , but the large majority of pot smokers do not do heroin or smoke crack","now , i would agree with that",marijuana legalization,1
497@3,habbit has been reduced to meaningless insults he made a fool of himself by demonstrating his ignorance of language and now has nothing worthwhile to say,"do n't like it when the person you 're arguing against can be as sarcastic as you are , huh \? i understand , i get these types of whines all the time thistownwilleat",existence of God,0
497@4,can anyone explain this to me \? or give me some sites that would explain it \?,http www talkorigins org,evolution,1
