qrID,quoteText,responseText,topic,emotion_fact
861@2,"huh \? i 'd love to live in a world where abortions were never necessary , that does n't mean i think it 's a bad thing",then why would you want abortions to be rare if you do n't consider abortion to be a bad thing \?,abortion,1
861@3,"which automatically places it a step above the other theories , creationism being one , because it does n't clash with what people want to hear","but a scientist makes his bones by clashing with what people want to hear and being correct eventually , if enough supportive evidence is accumulated , then old theories are overthrown the problem with creationism is that there is no theory and there is n't a single thread of supportive evidence",evolution,1
861@4,as in anyone who can legally own a firearm should be able to carry it without needing permission,"the answer is in your question legally own means just that can carry it without further permission but my question asks , is permission required to legally own firearms \? you know my answer to that question a ex",gun control,1
861@5,objective moral values,"well , we can go through a list from live human sacrifice , infraticide , slavery in the roman empire , to sexual morality , and the treatment of wmen mother 's and their children we might need a new thread for this topic ! most elucidating , and worth quoting is in the syballine oracles , written by an egyptian jew probably between 163 and 45 b c , the author compared jews to the other nations the jews 8220 are mindful of holy wedlock , and they do not engage in impious intercourse with male children , as do phoenicians , egyptians , and romans , specious greece and many nations of others , persians and galatians and all asia 8221 and in our times , sex historian amo karlen wrote that according to the sex researcher alfred kinsey , 8220 homosexuality was phenomenally rare among orthodox jews 8221 to a world which divided human sexuality between penetrator and penetrated , judaism said , 8220 you are wrong 8212 sexuality is to be divided between male and female 8221 to a world which saw women as baby producers unworthy of romantic and sexual attention , judaism said , 8220 you are wrong 8212 women must be the sole focus of men 's erotic love 8221 to a world which said that sensual feelings and physical beauty were life 's supreme goods , judaism said , 8220 you are wrong 8212 ethics and holiness are the supreme goods 8221 a thousand years before roman emperors kept naked boys , jewish kings were commanded to write and keep a sefer torah , a book of the torah nothing moved me more than the talmudic law that jews were forbidden to sell slaves or sheep to non jews , lest the non jews engage in homosexuality and bestiality that was the world in which rabbis wrote the talmud , and in which , earlier , the bible was written asked what is the single greatest revelation i have derived from all my researches , i always respond , i 8220 that there had to have been divine revelation to produce the torah 8221 the torah was simply too different from the rest of the world , too against man 's nature , to have been solely man made the creation of western civilization has been a terribly difficult and unique thing it took a constant delaying of gratification , and a re channeling of natural instincts and these disciplines have not always been well received there have been numerous attempts to undo judeo christian civilization , not infrequently by jews \( through radical politics \) and christians \( through anti semitism \) the bedrock of this civilization , and of jewish life , has been the centrality and purity of family life but the family is not a natural unit so much as it is a value that must be cultivated and protected the greeks assaulted the family in the name of beauty and eros the marxists assaulted the family in the name of progress judaism 8217 s sexual revolution why judaism \( and then christianity \) rejected homosexuality click here",existence of God,1
861@6,could you rephrase that in english \?,"i 'd be happy to the concept that i was trying to move forward was the idea that when we see a cecal valve develop , for example , we assume that it is newly engineered data to react to the new environment big question mark ! my point is that the lizard was designed to survive in a neighborhood where eating leaves , was its best chance of survival so that if a cecal valve became necessary the lizard was ready to go having the built in redundancy makes this possible without missing a beat",evolution,1
862@0,eugenics alive and well http news yahoo com s ap 20070112 us embryo bank,oh for dumb it 's almost more ludicrous than anything else what they are trying to sell can never be guaranteed stupid stupid people,abortion,0
862@1,"originally posted by lurch i like the name beagle 2 however , there is a gross error in the article this is obviously incorrect since earth and mars are were created only 6 , 000 years ago and how did they know that mars would be so close this year \? i have other questions too how do they know that pluto has a 249 year orbit of the sun since it was n't discovered until 1930 no one has seen it orbit the sun yet how did they know that it would actually come closer to the sun than neptune in 1979 and move forther away again in 1999 \? they told me that when i was young but no one had ever seen it it was just speculation a scientific theory , right \? \?","i'm not even going to comment on the '6000 years old' statement as to predicting the orbits of planets , it 's simple due to the laws of gravity , planets go in regular circular or elliptical paths by observing a planet for a period of time and making measurements , you can find out mathematically how that planet moves , how long it takes to complete one orbit , where that orbit lies , how fast it moves e t c",evolution,1
862@2,"actually there is a better solution mandatory male and female birth control pills , financial penalties if you stop taking anyone who would get off the pill would want a kid , therefore , abortions would cease",so we would penalize financially those who want to have kids \?,abortion,0
862@3,"as much as we try to ignore it , we are simply higher order animals who act on complex , but still instictive , reasoning","throw just a few more genes into the soup , stir the dna pot a bit , and poof ! \( \)",evolution,0
862@5,evolution looks to explain itself by the succesive iterations of morpholgoy and functionality or so it seems 1 \) what am i missing in the statement above \?,"you are missing the fact that the theory of evolution is the explanation for the observations evolution does not explain itself the theory of evolution explains things from the single genetic code for all living organisms , to the observed nested hierarchy , to the progression of life apparent in the fossil record , to why organisms seem designed for their environment i 'll say it again , because it 's important and might clear up some of your profound confusion the theory of evolution does not explain itself the observations of living organisms lead to the theory of evolution the theory of evolution is not a goal of science but a conclusion",evolution,1
863@2,this link is to the free summary of the jbc article http www jbc org cgi content abstract 283 24 16384,"heh on the one hand , science articles written for the general public are generally useless and often outright wrong on the other hand , i do n't have an advanced degree in bio chem or the like , so the summary did n't really tell me much hrumph",evolution,0
863@5,"what 's your point \? of course they will be bound by heller just as the courts are bound by roe v wade that point was n't in dispute as long as you 're talking about 19th century second amendment case law , i like the state v buzzard \( 1842 \)","muscarello v united states now consider a different , somewhat special meaning of the word carrya meaning upon which the linguistic arguments of petitioners and the dissent must rest the oxford english dictionarys twenty sixth definition of carry is bear , wear , hold up , or sustain , as one moves about habitually to bear about with one 2 oxford english dictionary , supra , at 921 websters defines carry as to move while supporting , not just in a vehicle , but also in ones hands or arms websters third new international dictionary , supra , at 343 and blacks law dictionary defines the entire phrase carry arms or weapons as to wear , bear or carry them upon the person or in the clothing or in a pocket , for the purpose of use , or for the purpose of being armed and ready for offensive or defensive action in case of a conflict with another person blacks law dictionary 214 \( 6th ed 1990 \) these special definitions , however , do not purport to limit the carrying of arms to the circumstances they describe no one doubts that one who bears arms on his person carries a weapon but to say that is not to deny that one may also carry a weapon tied to the saddle of a horse or placed in a bag in a car nor is there any linguistic reason to think that congress intended to limit the word carries in the statute to any of these special definitions to the contrary , all these special definitions embody a form of an important , but secondary , meaning of carry , a meaning that suggests support rather than movement or transportation , as when , for example , a column carries the weight of an arch 2 oxford english dictionary , supra , at 919 , 921",gun control,1
863@6,that wo n't happen,"oh , ye man of little faith ! i regard it as highly unlikely to happen , but one never knows",evolution,0
864@2,"the kkk use of firearms is n't a legal and lawful use , as dictated in the heller ruling next argument please !","actually , as long as any group is not breaking laws , their ownership of guns is legal the kkk can even own guns as long as the kkk is abiding by the law i noticed brady refered to the kkk as a mob , i get the picture brady thinks that if gun owners gather for whatever the reason , that we are mobs as well , but when his side gathers they are an organization and no brady , i dont belong to or associate with hate groups",gun control,1
864@5,based on what i was taught in my religous education in a catholic school and discussion with a cahtolic preist the spanish inquistion was at times very strict and discussing the geocentric model would have been risky at the time,"if all you got in school was that the spanish inquisition was at times very strict than you have been a wee bit undereducated to put it mildly let me give you the cliff notes version the purpose of the spanish inquisition was to find anyone who did n't believe exactly what the church told them to and if they were found to be heretics , they were gruesomely tortured until they said they believed , or if they did n't they were killed now i hope you can see why saying the spanish inquisition was at times very strict is a gigantic understatement",evolution,1
864@6,"mexico city guards and officials at a prison in northern mexico allegedly let inmates out , lent them guns and allowed them to use official vehicles to carry out drug related killings , including the massacre of 17 people last week , prosecutors said sunday after carrying out the killings the inmates would return to their cells , the attorney general 's office said in a revelation that was shocking even for a country wearied by years of drug violence and corruption according to witnesses , the inmates were allowed to leave with authorization of the prison director to carry out instructions for revenge attacks using official vehicles and using guards' weapons for executions , office spokesman ricardo najera said at a news conference the director of the prison in gomez palacio in durango state and three other officials were placed under a form of house arrest pending further investigation no charges have yet been filed prosecutors said the prison based hit squad is suspected in three mass shootings , including the july 18 attack on a party in the city of torreon , which is near gomez palacio in that incident , gunmen fired indiscriminately into a crowd of mainly young people in a rented hall , killing 17 people , including women police found more than 120 bullet casings at the scene , and najera said tests matched those casings to four assault rifles assigned to guards at the prison similar ballistics tests linked the guns to earlier killings at two bars in torreon , the capital of northern coahuila state , he said at least 16 people were killed in those attacks on feb 1 and may 15 , local media reported najera blamed the killings on disputes between rival drug cartels unfortunately , the criminals also carried out cowardly killings of innocent civilians , only to return to their cells , he said coahuila and neighboring durango are among several northern states that have seen a spike in drug related violence that authorities attribute to a fight between the gulf cartel and its former enforcers , known as the zetas mexico has long had a problem with investigating crimes , catching criminals and convicting people reports estimate less than 2 percent of crimes in mexico result in prison sentences but sunday 's revelation suggests that even putting cartel gunmen in prison may not prevent them from continuing to commit crimes interior secretary francisco blake said the revelation can only be seen as a wake up call for authorities to address , once again , the state of deterioration in many local law enforcement institutions we cannot allow this kind of thing to happen again also sunday , mexican federal police announced the arrest of an alleged leading member of a drug gang blamed in recent killings and a car bombing in the violence ridden border city of ciudad juarez , across from el paso , texas police described luis vazquez barragan , 39 , as a top member of la linea gang , the enforcement arm of the juarez cartel , saying he received orders directly from cartel boss vicente carrillo fuentes vazquez barragan allegedly organized payments , moved drugs and oversaw a system of safe houses in and around ciudad juarez police said he held the same rank as fugitive gang leader juan pablo ledezma , though vazquez barragan is not named on reward or most wanted lists published by the attorney general 's office , as ledezma is la linea has been blamed for a car bomb that killed three people july 15 in ciudad juarez and for two separate shootings march 13 that killed a u s consular employee and two other people connected to the consulate police did not say when they caught vazquez barragan , but he was allegedly in possession of about a half kilogram \( pound \) of cocaine and two guns his arrest led to a raid on a safe house where authorities detained four suspects and freed a kidnap victim also sunday , the attorney general 's office said soldiers on patrol in ciudad madero in the border state of tamaulipas seized an arsenal of about three dozen guns , 17 grenades and thousands of bullets in a house elsewhere in tamaulipas , police and prosecutors raided a lot full of truck pulled tankers in the border city of reynosa and seized two loaded with oil of a type sometimes stolen from the pipelines of the state owned petroleos mexicanos nore than a dozen other tankers and freight containers were also seized mexican drug cartels have allegedly become involved in increasingly sophisticated thefts of fuel and oil from mexico 's pipelines in the pacific coast state of guerrero , authorities reported sunday they had found the bullet ridden bodies of six men dumped in various locations , including three in or around the resort of acapulco two of the dead men were identified as people kidnapped earlier in the month","so somebody try and tell us , that with stuff like this going on , that america still needs to overhaul its gun laws to bring them more in line with those of mexico",gun control,0
865@0,"and the thing that materialists really hate is the concept of miracles they hate the concept that something real could be beyond the power of their beloved laws of physics and chemistry this seems to be the thing that really separates christians from materialists christians readily , accept even revel in the notion that jesus died on the cross and rose in 3 days we revel in the fact that christ made a return and was seen by his disciples and hundreds more after his death we revel in the fact that jesus turned water into wine and glowed a glorious bright , white light up on the mountain etc etc","you revel in those beliefs , certainly and not surprising either all these miracles , and others , embody the personally comforting notion that for special people , the universe makes exceptions this is a common feature of religions , from the oldest to the newest , ever since we were first intelligent enough to appreciate at a conscious level that there were things in the world we did n't understand and could n't control and which did n't seem to care very much about us , like lightning or crocodiles as members of a species who have evolved the habit of ingratiating ourselves with other , more powerful members by making the right sounds and employing properly deferential body language , the idea of being able to employ the same techniques to get the uncaring forces of nature on your side is a powerfully seductive one certainly it 's more palatable than believing that sometimes the crocodile is already full when you happen to take a dip , and sometimes it is not gotta go , back later",evolution,0
865@6,"by the same logic many economists use , we could find any number of absurd things for example there is a well known correlation between skyscraper construction and economic downturn , we could conclude from this that tall buildings depress economies and that recessions can be avoided if we disallow the construction of record height buildings the other thing economists need to realise is that economic statistics are entirely historical , they provide empirical information about a particular group at a particular time , not universal truths about mankinds' behaviour in general even if we run an experimental design in the realm of human action showing x causes y , differing social and cultural norms may result in the precise opposite effect at another period of time","so , the cavaet is the death penalty is a deterrent in the usa today ! i can live with that",death penalty,0
866@1,"edit to sum it all up , the big bang theory states that 'nothing exploded and the universe was formed ! '",and once more it could not be nothing nothing would have no density and no temperature especially densities and temperatures unprecedented in our current universe,evolution,1
866@2,how can it get anymore embarrassing for science that they got the premise wrong for all these years \?,do you actually have any idea how science works \? why are you not embarrassed for creationism \?,evolution,0
866@3,"no , its not thats a strawman i have never stated anything of the sort","strawman argument , obviously you never said it , your inferior intellect cannot articulate what you really mean , it requires articulation by a superior being such as i this the formal structure of your argument , citizen slave , even if you are too slavebound to recognise real ultimate truth",abortion,0
866@4,"very well said , but remember , evolution doesnt mean atheism , but creationism means religion","there 's just enough truth in that statement to keep me from saying it 's false , but if i analyze it , it will help make my point the word evolution has such a broad meaning that it does n't have to mean atheism , but it since it is practically the only weapon that atheists have to combat the religious worldview , that 's what it often does mean if it should n't mean it , but it is used so that it does , then that 's what it actually means creationism means religion , but it also involves a belief in the authenticity of historical documents that have been meticulously preserved over thousands of years that 's not just religion , it 's secular , observed history something evolution does n't have so if a person hearing your statement does n't consider it carefully , it 's very easy to be mislead by it it implies that evolution \( the branch that declares that the book of genesis is false \) is somehow a secular , observable truth while creationism is nothing but a religion , a superstition since evolution ca n't prove the book of genesis \( ancient history \) false , and creationism does have some historical backing , they are comparable and they directly conflict the problem is , a school teacher can make the statement you made , and it ca n't be legally questioned by anyone yet there was a case that i read about somewhere , where a sticker was placed in science textbooks advising children to study evolution with an open mind , and an aclu lawsuit ensued of all those likely to be mislead by your statement , it 's young impressionable school children publicly paid school teachers misleading them with statements like that , without a full explanation \( prohibited by the courts \) does get an establishment of atheism started it 's what i mean when i say that when church and state are separated , atheism and state are combined maybe government could be neutral , if it was small the u s government is no longer small",evolution,1
866@5,"i do tend to group atheist and theistic evolutionist together because theistic evolutionist create their own god to conform with unproven and constantly changing scientific senarios of the origin of life etc this is unfair to the atheist who i respect for having conviction as far as why most scientist agree i find has more to do with their worldview in many cases that their vocational skills why did most scientist agree with piltdown man or nebraska man \? it proves nothing in most cases in the case of gravity it seems to make sense as most items heavier than air tend to fall to earth dinos to birds is a worldview not a scientific opinion it did it as far as the bible you should read it sometime it is full of things we did not know until very recently like ocean currents , what caused the wind , to wash after touching dead bodies and many , many more quote here you 're just flagrantly wrong for info on the link between dinosaurs and birds , as an example , please follow this link and see the excellent post by pandion on this topic and before we address the big bang , i should point out that the validity of that theory really has nothing to do with evolution as for proof of it , we have the expanding universe around us , and the theory also predicts the same levels of cosmic background radiation that we actually see everywhere could there be other explanations \? possibly but the big bang is still the best we 've got flagrantly wrong \? that is a new one give me one , just one , peer reviewed paper proving any link between birds and dinosaurs it is a religious political belief and a fairly recent one at that the big bang is just as much a part of evolution as geology or palentology etc everytime one branch of science comes up with a new date for the earth and the cosmos all the other branches must agree or evolution dies it must be preserved the best according to who \? who is we \? the same people who used to believe that natural selection alone explained the origin of the species or that granted 200 doctorates written on piltdown man \? it is the same argument you said was fallacious most scientist agree well , if some of the implications of quantum theory are correct \( and do n't quote me on this \) , then some of those things are actually possible however , as any scientist worth his her salt will tell you , just because something is possible does n't mean it 's definite i do n't see any proof of those things happening any time soon , either , but they 're fun to think about , are n't they \? it is an interesting concept , i think much is learned by looking for answers even in the wrong place to quote it as gospel which many evolutionist do is absurd being facetious rarely works in winning converts please get back to us when you have a chance to review panion 's posts and think a little harder about your arguments",again show me something other than an opinion describe how the avian lung could have evolved over time other than it did it,evolution,0
866@6,bonus question who was the author of the iliad and the odyssey and how do we know \? \( limit your response to 50 words \) thanks to all who respond,"we do n't know for sure traditionally thought to be homer but is probably from oral tradition single authorship itself is disputed beyond that , i do n't know much about it what is your point in asking this question \?",existence of God,1
867@1,"ummm what 's to explain , none of those contradict with theistic evolution , at all","so you do n't believe that god took a rib from adam 's side to create woman \? genesis 2 21 23 so the lord god caused the man to fall into a deep sleep and while he was sleeping , he took one of the man 's ribs and closed up the place with flesh then the lord god made a woman from the rib he had taken out of the man , and he brought her to the man the man said , this is now bone of my bones and flesh of my flesh she shall be called 'woman , ' for she was taken out of man lurch i do n't have time to quote everything you said so i 'll just comment on it you guys keep saying that of course , religion and science can co exist perfectly when did i say that they could n't \? i simply said that fundamentalist christianity and evolution could not co exist catholics are a perfect example , they do not believe that they can pray to god directly they believe that they have to pray through a priest , saint , etc that is not fundamentalist christianity you keep trying to make an argument out of something that i am not arguing about you also say that creationism cannot co exist with science you say that evolution is science if creationism ca n't co exist with evolution , then how can there be any evolution believing christian fundamentalists \? \( thistown for example \) creationism , by the way , is used very broadly it is simply the study of how we were created , just as evolution is the study of how we evolved they can be used to mean the same thing if you are a christian who believes in evolution btw , science is n't the evil work of satan it 's man 's way of trying to explain something so that they do n't have to believe in something that threatens the way they enjoy living \( the bible \)",evolution,1
867@2,could it partially be the fact that they do n't want antiquated belief system dogma making their decisions \? must have access to a sonogram sounds like a lobby group attempting to sway opinion while enhancing revenue does the legislation force pregnant women who have not chosen abortion to have a sonogram \? raising children creates post delivery stress syndrome,"so is it safe to say you may be for pro ignorance \? with technology answers become clear everything cost money education cost money , therefore knowledge has a price tag do you now suggest people do n't go to college because it too is yet another expense society should not be inventing equipment that advance our intelligence sonograms are great tool for understanding more to those women who have doubt i do n't know about you , but i'm all for empowerment with knowledge most people are visual people and perhaps seeing the unborn may make the choice clearer for the woman i'm for educating those from all perspectives most people would rather see physcial evidence that a sonogram may provide than the rhetoric of slogans and idealistic points of view i know your kind just trust me is your motto",abortion,1
867@3,"this is n't exact but here 's the basics i think are right evolutionists we base our belief the universe was formed 20 billion years ago the earth was formed 4 5 billion years ago we speculate a rise in concentrated energy cause a massive explosion that resulted in millions of particles bumping into each other and eventually forming galaxies with in the universe , and planets with the galaxies the planets , well one planet so far , managed to become inhabitable by life forms , that managed to survive and evolve over time admittedly we have some serious gaps and flaws here and there , but it 's better than the mythological garbage of zeus or any other god for that matter , creating the world mass can neither be created or destroyed christian god did it \( then you could visit dr hovind , or other creationists for some logic and reasoning \) of course both sides will say the other has fallible evidence no matter what you 'll never be able to convince the other side that they are wrong because you have the extraneous variable of faith and faith being abstract and science being more of a physical nature is like saying oil is going to mix with water so the ultimate answer comes down to your own convictions , knowledge , and experiences leaving the answer to the life long mystery as to why are we here \? up to the individual he or she must find the answer themself","actually , you are misreprenting the scienctific answer in the following manner 1 \) it is not evolutionists , it is astrophysicists 2 \) it is based on testable observations 3 \) based on the available data , it is about 13 5 billion years old 4 \) it does not address the issue of 'why we are here' at all 5 \) it is not based on faith , but based on data if data comes into change that evalutation , then by all means , it will be changed this has happened a few times when it comes to cosmology our technology is good enough about gathering information it would probably take a real major discovery to change things drastically at this point \( but that would be fun \) although you claim that religion can do the same thing , that can not be demonstrated you are also making the false claim that people who are religious can not accept science the only that that is different is that they do n't take the stories in the bible literallyi , but only as an allegory",evolution,1
867@6,"i 've had an abortion , at 9 weeks gestation i'm not proud of it , but i'm not ashamed of it either it was the best decision for me at the time and i remain pro choice my choice was not 'just' my rights at the time , it was the priority of my existing family and our lives just about the rights of the mother \? it 's interesting to note that the mothers rights \( and the rights of her family , her children \? \) are obviously of much lower value to you than the rights of a fetus",i am very sorry to hear that and maybe i came off a little bias in my pastposts and now that i have really thought about my opinions and the way they have come off to people i know that it is not my place or any one elses to judge another i guess some of need to clean our own backyard befor we look at our neighbors best of luck to you and your family,abortion,0
868@0,"adultery is still adultery , murder is still murder , stealing is still stealing , etc","but what is adultery \? mark 10 11 and he saith unto them , whosoever shall put away his wife , and marry another , committeth adultery against her and if a woman shall put away her husband , and be married to another , she committeth adultery matthew 19 9 and i say unto you , whosoever shall put away his wife , except it be for fornication , and shall marry another , committeth adultery and whoso marrieth her which is put away doth commit adultery strange that the gospels differ so importantly about what jesus said in the same instance according to mark , all putting away is adultery , but matthew says that her fornication provides for an out for him which is it \?",existence of God,1
868@2,"44 believe gun laws should be more strict , 43 believe they should stay the same , and 12 believe they should be less strict",so 43 12 55 that oppose new laws in the gallop,gun control,1
869@2,"yes they do modern coelocanth modern coelocanth no they do n't fossil coelocanth fossil coelocanth no , it was based upon the fact we had n't seen one , yet there were fossils of them then when we did see the descendants of the fossils and it got changed , that 's how science works , when better data is found , the theories are changed","first of all , let 's compare the b specimen in this fossil link to the modern specimen and point out any significant difference to me secondly , shortly after the discovery was made of the living fish , but before the fix was in to excuse the massive assumptions evolutionists previously made regarding what the fossil represented , nat geo reported the truth about the claims evolutions had made prior to finding this fish alive and well and basically unchanged after an alleged hundreds of millions of years one example that amply demonstrates the accuracy of evolutionary dating and sequencing of fossil fish , or any fossil for that matter , would be the story of the coelacanth this is a genuine fish story for many years evolutionists had assured us that the coelacanth , a member of the crossopterygian family and a supposed link to amphibians , had most definitely been extinct for at least sixty million years , at least according to their precise methods of dating and their exact analysis of the indisputable evidence of the fossil record no doubt about it , the coelacanth died out millennia ago along with the dinosaurs , at least until a living coelacanth was dredged up off the coast of africa in 1938 since then hundreds of live coelacanths have been found in the june , 1988 national geographic magazine they featured numerous pictures of the coelacanth swimming around in the ocean depths , where they differ very little from the ones found entombed in the fossil layers , thus providing no evidence of any kind of evolution occurring for the coelacanth , despite the fact that the evolutionists say these fish have been swimming around for at least four hundred million years the ancient coelacanths , from the first time they appeared in the fossil record were virtually identical to the living ones we find at the present day , extending all the way back through the geologic record past the paleogene age of the mammals \( 63 million years \) , before the cretaceous and jurassic age of the dinosaurs \( 100 million through 225 million years ago \) , before the triassic age of early mammals \( 200 million through 250 million years ago \) , before the permian age of early reptiles \( 250 million through 300 million years ago \) , before the carboniferous age \( 300 million through 370 million years ago \) , all the way back to the devonian era , 400 million years ago in the fossil record , according to the time scale of the evolutionists initially it could n't be admitted that a living coelacanth had appeared that was identical to a species that evolutionists had calmly assured us was extinct for so many millions of years thus when a live example of this extinct fish had been found , j l b smith , a chemist and ichthyologist at rhodes university in grahamstown university , south africa , pronounced it an entirely new genus and species , differentfrom any coelacanth previously recorded as fossils smith gave the living coelacanth a very scientific name , latimeria chalumnae , after marjorie courtenay latimer who discovered the fish , and the mouth of the chalumna river where it was captured just how different is this fish from the ancient coelacanth \? on pp 832 of the national geographic article of 1988 , there is a study of the comparative anatomy between the living and ancient coelacanth with this caption next to pictures of each one they state like carbon copies , the tail of a live coelacanth and a 140 million year old fossil virtually match they go on to report few creatures have endured such an immense span of time with so little change as the coelacanth the cut away drawing of a present day specimen seems almost identical with the 140 million year old fossil found in a quarry in southern west germany it is that extraordinary lack of change that enabled professor j l b smith in grahamstown to identify the coelacanth caught in south africa in 1938 from a rough sketch , although he had never seen a live specimen \( 30 \) throughout the entire history of vertebrate animals the coelacanth appears , differing very little in structure , showing absolutely no signs of evolving from one species and or changing into any other kind of species through the supposed millions of years of it 's existence it would seem that giving the newly discovered living coelacanth the status of an entirely new species and genus was simply to hide their embarrassment while they were scrambling to come up with some kind of an explanation as to why they had been so sure that it had been extinct for sixty million years i think there 's something fishy here in what the evolutionists have been trying to tell us this is true of virtually all fossils found , whether sharks or sand dollars , they show no signs of evolutionary change to or from another distinct species evolutionists had long speculated that the crossopterygians \( the class of fish including the coelacanth \) , because they had bony elements in their fins , may have had the ability to walk while in the water on the floor of the sea , which somehow led to the development of legs to walk on the land this scenario was put to rest when the authors wrote in the national geographic article our films settled another question that has intrigued scientists whether the coelacanth can walk on its lobed fins though we observed several individuals resting with their fins braced against the sea bottom , we never saw any of them walk , and it appears the fish is unable to do so \( 31 \) it should be noted that the coelacanth does not lay eggs like most fish , amphibians and reptiles do , but gives live birth thus as evolutionists had tried to connect the coelacanth with some unknown link between amphibians and fish , this would put it in a rather dubious position as an intermediary candidate the red tailed sun perch off the northwest coast of the united states also gives live birth after nine months , two thirds of all existing sharks give birth to live , wriggling , little , sharks , some lizards give live birth , so a supposed evolutionary sequence demonstrating how fish , amphibians and reptiles lay eggs while only mammals and marsupials give live birth would be in serious trouble the fossil record here 's the relevant point of exposing how evolutionists dealt with defining the coelacanth before evolutionists knew that living examples of this fish existed , they never even hesitated in taking the observable physical features it exhibited and thought nothing of creating a completely inaccurate and totally fictional biography of that fish 's evolutionary journey they not only claimed that it crawled on the sea bottom which proved it was an intermediary fish , but they made assumptions based on the fact that it birthed its young live rather than being an egg layer here is hans fricke 's own story regarding the investigation into the coelacanths natural habitat which nat geo 's story is based upon and notice the last paragraph in the story the fish that time forgot sidebar msn encarta it say's this i confess i'm sorry we never saw a coelacanth walk on its fins professor smith himself nicknamed the coelacanth old fourlegs in the belief that the creature actually did walk upon the seafloor like a seal on its flippers alas , that does not seem to be the case for every myth we dispelled , however , i'm certain there are a dozen fascinating discoveries still to be made in short , we have just begun to know the coelacanth so even though this man is in no way an anti evolutionist , even he had to admit that what had been not only assumed to be true about the coelacanth , but had been widely reported as a discovery which was supported by documented fossil evidence , was a complete myth which i believe and assert can be said for all of the so called evidence which exists for the pseudo science of evolution",evolution,1
870@2,"see , the intiative did n't say gay marriage is banned that 's actually a misrepresentation of the language of the initiative","and after amazing me with an honest admittal as to the true nature of the debate , jyoshu jumps right back into obfuscation mode the initiative did n't say 'gay marriage is banned' what it did say is that any union that is not marriage , which obviously includes gay marriage from the previous line and also civil unions , is forbidden from being recognized by the government and to you that is n't banning gay marriage \? this logic is like saying whites only is n't banning blacks you 're pegging the b s meter tonight !",gay marriage,0
870@4,does n't that seem hypocritical for them to scream about their rights whils at the same time denying others their right free speech and right to be beleived when telling the truth \?,how does anyone deny someone the right to believe something \? i do n't understand what you 're saying,abortion,0
870@5,apparently you 've got one powerful set of rose colored glassed i guess you spend a lot of money on those 1 900 psychics too nowhere is it scientifically inaccurate \? are you serious \? waxy,"yup give me an example of a true inaccuracy , instead of working to poke fun do you honestly think anyone will take you seriously \( except the evolutionists \) if you do n't provide reasons for your apparent problem with scriptures are you scared because you see the ancients commenting on subjects you thought science had discovered since the enlightenment \? man , how arrogant can you get \? you remind me of the pharasees arrogant presuppositions are no substitue for confronting your ignorance my friend either explain how the bible speaks accurately on sophisticated subjects as given above , or do n't bother posting",evolution,0
870@6,"it is very clear to me what is to be done with non patriots and gun haters you tolerate them there is no other choice in a democracy in a free market of ideas , i am absolutely convinced that the xxxxxx , liars , and dark age reasoning will expose themselves in a free market of ideas the stupid ideas will die and go away two cases see post 11 http www 4forums com political showthread php \? p 21234 see post on sat nov 01 , 2003 1 10 pm http forums evula com viewtopic ph f01fc12e57ef66 so what are you doing here \? look at mahatma ghandi he was a pacifist and he freed india that does not mean you passively allow them the free market it means you hunt down these ideas and expose them",so what are you doing here \? look at mahatma ghandi he was a pacifist and he freed india,gun control,0
871@1,"okay , you miss interperted what i ment when i said the baby did not do anything i didnt mean for it to sound like the mother did just because the baby is a product of rape does not mean it is a evil baby give it up for adoption and when i said one life would have to end that would be the choice of the mother there are exceptions to every law even though it is legal to kill a fetus doesnt make it right","i have to agree with you the mother is usually the one responsible for conceiving the baby the man should be responsible too , but she 's the one who will get pregnant and she has to consent to sex i do n't think a woman should have the right to do what she likes with her body and kill her baby whenever she gets pregnant i think the responsibility rests with the mother first in this case , and the baby should not die for her",abortion,0
871@6,"if you want a contradiction how about conservatives who are against abortion , but advocate the death penalty , who think nothing of sending their sons and daughters off to die in war with someone who was not a real threat and call it patriotism who , with one hand , sell the very weapons they condemn with the other that is your real contradiction","you are clearly against the iraq war , and this is n't what i was planning to debate i think the pro lifers have an edge on the contradiction between abortion and the death penalty because one is the ending of an innocent life , while the other is of a guilty persons life i think every soldier who gives his life in a justified or an ambiguous war should be honored by all americans for giving his or her life for their country , and yes , i do believe they are patriots !",abortion,0
872@0,i have no problem with either of these let freedom ring,but its not about what you want matthew my point was that you have no more right to marriage as these people,gay marriage,0
872@1,"yes , socialist check the definition i do n't watch fox is that the best you can do \?","if you mean by this that were left shifted relative to the american spectrum then yes we are , and thank god for that ! however were not a socialist country we have a pseudo socialist government in at the moment , but they arent enforcing any true socialist policies blair realised that the only way to get re elected repeatedly is to stay middle of the road",gun control,1
